Date,Close/Last,Open,High,Low
04/16/2020,1468.86,1468.48,1472.70,1450.38
04/15/2020,1459.53,1457.63,1468.97,1448.24
04/14/2020,1490.99,1473.09,1494.06,1471.10
04/13/2020,1445.87,1453.51,1453.62,1424.37
04/09/2020,1459.12,1454.82,1474.03,1445.19
04/08/2020,1438.07,1405.73,1443.46,1393.13
04/07/2020,1390.60,1439.67,1442.27,1389.66
04/06/2020,1393.58,1354.05,1400.25,1346.83
04/03/2020,1301.48,1319.46,1327.50,1286.94
04/02/2020,1322.17,1285.57,1325.22,1285.21
04/01/2020,1292.85,1301.60,1320.62,1280.76
03/31/2020,1352.88,1368.69,1383.10,1345.89
03/30/2020,1375.65,1343.45,1378.23,1333.59
03/27/2020,1331.20,1329.16,1369.54,1319.75
03/26/2020,1377.08,1309.45,1380.46,1309.45
03/25/2020,1295.26,1282.60,1345.32,1260.08
03/24/2020,1279.13,1229.03,1280.17,1229.03
03/23/2020,1169.47,1186.63,1201.51,1144.62
03/20/2020,1203.42,1266.92,1281.65,1198.83
03/19/2020,1257.71,1246.10,1287.63,1210.34
03/18/2020,1249.76,1270.30,1279.47,1188.40
03/17/2020,1319.43,1264.28,1332.57,1234.43
03/16/2020,1244.63,1379.37,1379.37,1241.93
03/13/2020,1415.95,1335.86,1416.06,1301.54
03/12/2020,1295.96,1380.36,1389.65,1295.03
03/11/2020,1432.71,1474.85,1474.85,1414.88
03/10/2020,1506.83,1466.75,1506.95,1429.24
03/09/2020,1435.51,1509.10,1509.54,1429.46
03/06/2020,1553.97,1551.24,1561.04,1516.97
03/05/2020,1581.32,1608.25,1611.72,1568.82
03/04/2020,1635.36,1586.93,1635.74,1585.82
03/03/2020,1569.24,1614.65,1638.74,1555.25
03/02/2020,1614.07,1552.76,1614.31,1538.69
02/28/2020,1542.63,1523.80,1545.51,1490.71
02/27/2020,1555.69,1604.10,1617.54,1555.05
02/26/2020,1628.03,1640.42,1662.84,1624.20
02/25/2020,1634.72,1694.07,1696.35,1629.79
02/24/2020,1685.97,1707.17,1707.17,1680.11
02/21/2020,1744.56,1757.28,1757.50,1739.47
02/20/2020,1763.43,1767.65,1771.88,1746.28
02/19/2020,1770.29,1767.09,1774.13,1766.60
02/18/2020,1761.37,1759.54,1763.70,1753.56
02/14/2020,1765.81,1764.20,1766.18,1758.76
02/13/2020,1762.23,1756.17,1767.90,1754.69
02/12/2020,1764.43,1763.20,1765.50,1759.34
02/11/2020,1753.31,1756.85,1762.53,1750.71
02/10/2020,1750.39,1733.93,1750.47,1733.64
02/07/2020,1737.49,1741.30,1744.68,1734.56
02/06/2020,1746.59,1745.56,1747.78,1740.31
02/05/2020,1740.46,1737.50,1742.11,1730.48
02/04/2020,1723.91,1712.05,1729.17,1712.05
02/03/2020,1695.99,1689.30,1705.81,1689.13
01/31/2020,1683.51,1706.05,1712.28,1677.82
01/30/2020,1713.12,1698.27,1714.33,1691.98
01/29/2020,1706.81,1714.02,1717.15,1705.93
01/28/2020,1708.06,1697.54,1712.81,1696.21
01/27/2020,1690.77,1691.78,1698.61,1689.42
01/24/2020,1717.50,1736.82,1737.39,1710.19
01/23/2020,1732.80,1728.52,1733.40,1720.62
01/22/2020,1730.89,1734.54,1739.19,1730.02
01/21/2020,1729.71,1729.49,1734.39,1727.60
01/17/2020,1733.58,1730.10,1733.68,1728.20
01/16/2020,1727.38,1720.22,1727.53,1719.70
01/15/2020,1712.98,1709.80,1718.24,1708.75
01/14/2020,1710.21,1711.92,1716.20,1707.27
01/13/2020,1712.77,1703.90,1712.77,1702.51
01/10/2020,1700.46,1708.61,1709.75,1698.18
